,Name,Longitude,Latitude,CO2 (mg C m¯² d¯¹),CH4 (mg C m-2 d-1),CO2 (g/kWh),CH4 (g/kWh),Area / Electricity,Area,Age,Erosion,Tmax,Tmean,Tmin,Volume,Volume / Area,orgC,NPP
33,Furnas,-46.25,-20.66666667,73.2,NA,26.03373703,NA,0.265742574,1342,44,0.735438678,28.4,20.5,9.1,20.7,0.015424739,0.930499971,903.6691895
34,Furnas,-46.25,-20.66666667,171.9,NA,61.13660376,NA,0.265742574,1342,44,0.735438678,28.4,20.5,9.1,20.7,0.015424739,0.930499971,903.6691895
35,Furnas,-46.25,-20.66666667,144.1,NA,51.24947413,NA,0.265742574,1342,45,0.735438678,28.4,20.5,9.1,20.7,0.015424739,0.930499971,903.6691895
36,Furtuna,-82.18333333,9.233333333,320.5,129,2.405832258,0.352122946,0.00560884,10,18,0,30,25.7,20.7,0.2,0.02,0.19834568,49.61420736
37,Gatun Lake,-79.88333333,9.233333333,NA,537,NA,2523.039964,9.654243377,430,78,0,31.2,26.6,22.6,5,0.011627907,0.160704586,39.79268683
38,Gatun Lake,-79.88333333,9.233333333,608.5,80,7862.182495,375.8718755,9.654243377,430,90,0,31.2,26.6,22.6,5.2,0.012093023,0.160704586,39.79268683
39,Gouin,-74.95,48.93333333,181.4,2.7,47055.481,254.6853738,193.8244854,1789,39,0.146318827,21.7,0,-24.2,85.7,0.047903857,10.68200016,589.333374
40,Great Falls,-90,50.45,1569.3,15.3,19.01363842,0.067409017,0.009053051,10,86,0.085577016,23.8,-0.5,-27.2,NA,NA,1.883000016,588.75
41,Grimsel,8.333333333,46.56666667,NA,0.4,NA,0.012166667,0.0625,3,74,17.61330944,11.8,0.5,-9.6,0.1,0.033333333,1.526333372,506.7980957
42,Gruyere,7.1,46.65,192.8,0.7,11.9458642,0.015771605,0.046296296,10,59,7.094557498,20.6,6.6,-5.3,0.2,0.02,1.465000033,588.5712891
43,Hinds,-57.06666667,49.65,574.1,NA,45.83829688,NA,0.059659091,21,23,0.19036752,20.1,2.5,-14.2,NA,NA,5.902999878,564.694519
44,Indal,17.06666667,62.56666667,30.8,NA,84.89580385,NA,2.059544658,1176,70,2.269769833,19.7,2.6,-13.6,NA,NA,5.790299892,520.746521
45,Itaipu,-54.55,-25.38333333,328.6,NA,6.603174806,NA,0.015014848,1350,14,54.64887456,32.1,21.3,10.1,129,0.095555556,0.625499984,27.81176709
46,Itumbiara,-49.05,-18.4,86,NA,11.18757649,NA,0.097201568,719,25,79.95446403,32.3,24.2,13.3,15.1,0.021001391,1.25,29.42286935
47,Itumbiara,-49.05,-18.4,258.8,NA,33.66679996,NA,0.097201568,719,25,79.95446403,32.3,24.2,13.3,15.1,0.021001391,1.25,29.42286935
48,Itumbiara,-49.05,-18.4,227.9,NA,29.64707771,NA,0.097201568,719,25,79.95446403,32.3,24.2,13.3,15.1,0.021001391,1.25,29.42286935
49,Jones Reservoir,-122.0166667,49.38333333,-58.1,NA,NA,NA,0.013144404,5,50,14.93117078,21.8,7.1,-4.3,NA,NA,2.772000074,594.0484009
50,Kinbasket (grand),-118.5705556,52.07861111,144.5,NA,11.5340918,NA,0.059641871,430,19,0.108117194,20.8,1.9,-14.4,NA,NA,2.772000074,365.9867859
51,Kootenay Lake,-116.75,49.35,-38.7,23.5,NA,2.219216508,0.194043997,389,20,3.78691596,24,4.7,-9.8,36.7,0.094344473,2.772000074,419.2084961
52,L.C.B. de Carvalho,-47.25,-20.15,565.8,23.1,8.535898046,0.126725952,0.011272545,45,38,29.46480492,26.9,20.3,11.1,1.3,0.028888889,0.930499971,991.0540161
53,L.C.B. de Carvalho,-47.25,-20.15,1118.4,38,16.87265531,0.208466934,0.011272545,45,38,29.46480492,26.9,20.3,11.1,1.3,0.028888889,0.930499971,991.0540161
54,L.C.B. de Carvalho,-47.25,-20.15,769.3,28.6,11.6059851,0.156898798,0.011272545,45,39,29.46480492,26.9,20.3,11.1,1.3,0.028888889,0.930499971,991.0540161
